,Unnamed: 0,Sentence,Phrase,Episode,Target,Speaker,Vocative Relation,Other Relation,In-sentence Characters
0,100,"BAELISH: My sources are well placed. They tell me Roose Bolton plans to marry her to his son, Ramsay, a bastard recently legitimized by King Tommen.",Phrase,s5ep6,Cersei,Baelish,None,None,"Roose Bolton, Ramsay, King Tommen"
1,101,"JAQEN: To be a dancing master is a special thing, but to be a faceless man, that is something else entirely. The girl has many names on her lips. Joffrey, Cersei, Tywin Lannister, llyn Payne, the Hound. Names to offer up to the Red God. She could offer them all one by one.",Phrase,s2ep10,Arya,Jaqen,None,None,"The girl, Joffrey, Cersei, Tywin Lannister, llyn Payne, the Hound, Red God
"
2,102,HIGH SPARROW: Will you fight to defend your faith against heretics and apostates?,Phrase,s6ep10,Loras,High Sparrow,None,None,None
3,103,"SAM: It doesn't get so cold down in the Reach. And there were servants, of course.",Phrase,s3ep6,Gilly,Sam,None,None,servants
4,104,Qotho:Too many words. A witch's words poison the ears.,Phrase,s1ep8,Mirri Maz Duur,Qotho,None,None,Witch
5,105,PETYR: You were a child.,Phrase,s6ep10,Sansa,Petyr,None,None,None
6,106,DORAN: You have not had to use that axe of yours in a very long time. I hope you remember how.,Phrase,s5ep6,Areo,Doran,None,None,None
7,107,Walder Frey:Why should l let him?,Phrase,s1ep9,Catelyn Stark,Walder Frey,None,None,Him
8,108,"TYRION: You disappoint me, Grand Maester.",Phrase,s2ep3,Pycelle,Tyrion,None,None,Grand Maester
9,109,TYRION: I am more sorry about the children than you could ever know.,Phrase,s7ep7,Cersei,Tyrion,None,None,the children
10,110,"HIZDAHR: Your Grace, I cannot defend the actions of the masters. I can only speak to you as a son who loved his father. Let me take his body down. Let me have him brought to the temple and buried with dignity so that he might find peace in the next world.",Phrase,s4ep6,Daenerys,Hizdahr,None,None,"Your Grace, The Masters, Son, His Father"
11,111,TYRION: Beloved nephew.,Phrase,s2ep1,Joffrey,Tyrion,None,Joffrey nephew_of Tyrion,None
12,112,"ARYA: But you've seen things, horrible things.",Phrase,s2ep3,Yoren,Arya,None,None,None
13,113,CERSEI: Symptoms that are not your concern.,Phrase,s4ep1,Jaime,Cersei,None,None,None
14,114,"DAVOS: That’s not his way. He knows the North is watching. If the other houses sense weakness on his part, they’ll stop fearing him. He can’t have that. Fear is his power.",Phrase,s6ep9,Jon Snow,Davos,None,None,"His, Him"
15,115,"SHAE: You make me wait a long time, but your friend keeps me company.",Phrase,s2ep2,Tyrion,Shae,None,None,your friend
16,116,SAM: Not so far. A few more days.,Phrase,s3ep6,Gily,Sam,None,None,None
17,117,TYRION: Your Grace does me a great honor.,Phrase,s4ep2,Joffrey,Tyrion,None,None,Your Grace
18,118,KARL:And how you gonna do that?,Phrase,s4ep5,Jojen,Karl,None,None,None
19,119,"DAVOS: Unless there’s a thaw, we can’t press forward to Winterfell, and we don’t have enough food to get us back to Castle Black.",Phrase,s5ep9,Stannis,Davos,None,None,None
20,120,DAENERYS: The Spice King refuses me because I'm a bad investment. The Silk King won't support me because of his business with the Lannisters. Why offend his best customer? And the Copper King offers me a single ship on the condition that I lie with him for a night. Does he think I will whore myself for a boat?,Phrase,s2ep6,Xaro,Daenerys,None,None,"The Spice King, The Silk King, The Lannisters, The Copper King
"
21,121,"LADY CRANE: I remember when the players came to my village. I didn’t have any money, so I snuck in. Just like you. Saw the painted faces, the costumes, listened to the songs, cried when the young lovers died in each other’s arms. I ran off and joined them the next day, never looked back.",Phrase,s6ep6,Arya,Lady Crane,None,None,None
22,122,DAVOS:You might want to bring one of those swords.,Phrase,s7ep5,Gendry,Davos,None,None,None
23,123,Wine Merchant:Princess.,Phrase,s1ep7,Daenerys Stormborn,Wine Merchant,None,None,Princess
